fips,state_code,district_code,name,senator_1,senator_1_party,senator_2,senator_2_party,representative,representative_party,report_link
01,AL,00,"Alabama","Tommy Tuberville","Republican","Katie Boyd Britt","Republican",,,"https://environmentalenforcementwatch.org/report_cards/AL_2024.pdf"
02,AK,00,"Alaska","Lisa Murkowski","Republican","Dan Sullivan","Republican",,,"https://environmentalenforcementwatch.org/report_cards/AK_2024.pdf"
04,AZ,00,"Arizona","Kyrsten Sinema","Independent","Mark Kelly","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/AZ_2024.pdf"
05,AR,00,"Arkansas","John Boozman","Republican","Tom Cotton","Republican",,,"https://environmentalenforcementwatch.org/report_cards/AR_2024.pdf"
06,CA,00,"California","Dianne Feinstein","Democrat","Alex Padilla","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/CA_2024.pdf"
08,CO,00,"Colorado","Michael F. Bennet","Democrat","John W. Hickenlooper","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/CO_2024.pdf"
09,CT,00,"Connecticut","Richard Blumenthal","Democrat","Christopher Murphy","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/CT_2024.pdf"
10,DE,00,"Delaware","Thomas R. Carper","Democrat","Christopher A. Coons","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/DE_2024.pdf"
11,DC,00,"District of Columbia",,,,,,,"https://environmentalenforcementwatch.org/report_cards/DC_2024.pdf"
12,FL,00,"Florida","Marco Rubio","Republican","Rick Scott","Republican",,,"https://environmentalenforcementwatch.org/report_cards/FL_2024.pdf"
13,GA,00,"Georgia","Jon Ossoff","Democrat","Raphael G. Warnock","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/GA_2024.pdf"
15,HI,00,"Hawaii","Mazie K. Hirono","Democrat","Brian Schatz","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/HI_2024.pdf"
16,ID,00,"Idaho","James E. Risch","Republican","Mike Crapo","Republican",,,"https://environmentalenforcementwatch.org/report_cards/ID_2024.pdf"
17,IL,00,"Illinois","Richard J. Durbin","Democrat","Tammy Duckworth","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/IL_2024.pdf"
18,IN,00,"Indiana","Todd Young","Republican","Mike Braun","Republican",,,"https://environmentalenforcementwatch.org/report_cards/IN_2024.pdf"
19,IA,00,"Iowa","Chuck Grassley","Republican","Joni Ernst","Republican",,,"https://environmentalenforcementwatch.org/report_cards/IA_2024.pdf"
20,KS,00,"Kansas","Jerry Moran","Republican","Roger Marshall","Republican",,,"https://environmentalenforcementwatch.org/report_cards/KS_2024.pdf"
21,KY,00,"Kentucky","Mitch McConnell","Republican","Rand Paul","Republican",,,"https://environmentalenforcementwatch.org/report_cards/KY_2024.pdf"
22,LA,00,"Louisiana","Bill Cassidy","Republican","John Kennedy","Republican",,,"https://environmentalenforcementwatch.org/report_cards/LA_2024.pdf"
23,ME,00,"Maine","Susan M. Collins","Republican","Angus S. King, Jr.","Independent",,,"https://environmentalenforcementwatch.org/report_cards/ME_2024.pdf"
24,MD,00,"Maryland","Benjamin L. Cardin","Democrat","Chris Van Hollen","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/MD_2024.pdf"
25,MA,00,"Massachusetts","Edward J. Markey","Democrat","Elizabeth Warren","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/MA_2024.pdf"
26,MI,00,"Michigan","Debbie Stabenow","Democrat","Gary C. Peters","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/MI_2024.pdf"
27,MN,00,"Minnesota","Amy Klobuchar","Democrat","Tina Smith","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/MN_2024.pdf"
28,MS,00,"Mississippi","Roger F. Wicker","Republican","Cindy Hyde-Smith","Republican",,,"https://environmentalenforcementwatch.org/report_cards/MS_2024.pdf"
29,MO,00,"Missouri","Josh Hawley","Republican","Eric Schmitt","Republican",,,"https://environmentalenforcementwatch.org/report_cards/MO_2024.pdf"
30,MT,00,"Montana","Jon Tester","Democrat","Steve Daines","Republican",,,"https://environmentalenforcementwatch.org/report_cards/MT_2024.pdf"
31,NE,00,"Nebraska","Deb Fischer","Republican","Pete Ricketts","Republican",,,"https://environmentalenforcementwatch.org/report_cards/NE_2024.pdf"
32,NV,00,"Nevada","Catherine Cortez Masto","Democrat","Jacky Rosen","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NV_2024.pdf"
33,NH,00,"New Hampshire","Jeanne Shaheen","Democrat","Margaret Wood Hassan","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NH_2024.pdf"
34,NJ,00,"New Jersey","Robert Menendez","Democrat","Cory A. Booker","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NJ_2024.pdf"
35,NM,00,"New Mexico","Martin Heinrich","Democrat","Ben Ray Luján","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NM_2024.pdf"
36,NY,00,"New York","Kirsten E. Gillibrand","Democrat","Charles E. Schumer","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NY_2024.pdf"
37,NC,00,"North Carolina","Thom Tillis","Republican","Ted Budd","Republican",,,"https://environmentalenforcementwatch.org/report_cards/NC_2024.pdf"
38,ND,00,"North Dakota","John Hoeven","Republican","Kevin Cramer","Republican",,,"https://environmentalenforcementwatch.org/report_cards/ND_2024.pdf"
39,OH,00,"Ohio","Sherrod Brown","Democrat","J.D. Vance","Republican",,,"https://environmentalenforcementwatch.org/report_cards/OH_2024.pdf"
40,OK,00,"Oklahoma","James Lankford","Republican","Markwayne Mullin","Republican",,,"https://environmentalenforcementwatch.org/report_cards/OK_2024.pdf"
41,OR,00,"Oregon","Jeff Merkley","Democrat","Ron Wyden","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/OR_2024.pdf"
42,PA,00,"Pennsylvania","Robert P. Casey, Jr.","Democrat","John Fetterman","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/PA_2024.pdf"
44,RI,00,"Rhode Island","Sheldon Whitehouse","Democrat","Jack Reed","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/RI_2024.pdf"
45,SC,00,"South Carolina","Lindsey Graham","Republican","Tim Scott","Republican",,,"https://environmentalenforcementwatch.org/report_cards/SC_2024.pdf"
46,SD,00,"South Dakota","John Thune","Republican","Mike Rounds","Republican",,,"https://environmentalenforcementwatch.org/report_cards/SD_2024.pdf"
47,TN,00,"Tennessee","Marsha Blackburn","Republican","Bill Hagerty","Republican",,,"https://environmentalenforcementwatch.org/report_cards/TN_2024.pdf"
48,TX,00,"Texas","John Cornyn","Republican","Ted Cruz","Republican",,,"https://environmentalenforcementwatch.org/report_cards/TX_2024.pdf"
